Foundation EIN,Foundation name,Foundation city,Foundation state,Foundation county,Foundation.Year formed,Foundation.Most recent tax filings,"Foundation.NTEE code, primary","Foundation.NAICS code, primary",Foundation.Total revenues,Foundation.Total liabilities,Foundation revenues,Foundation assets,Foundation Grant geographic focus,Foundation Total num. grants made,Grant recipient EIN,Grant recipient name,Grant amounts,Fiscal year when grants made,Recipient.Street address,Recipient.City,Recipient.Zip code,Recipient.County,Recipient.Year formed,Recipient.Most recent tax filings,"Recipient.NTEE code, primary","Recipient.NAICS code, primary",Recipient.Has full-time employees,Recipient.Has endowment support,Recipient.Federal funding types,Recipient.Total assets,Recipient.Total revenues,Recipient.Total liabilities,Recipient.Total expenses,Recipient.Number of grants made,Recipient.Median grant amount
33-0364239,Loma Linda University Health Care,"Loma Linda, California",CA,"San Bernardino County, California",1989,6/1/2024,E31: Group Health Practice,813211: Grantmaking Foundations,235023024,86243347,235023024,141835056,Metro,1,33-0672915,Faculty Physicians and Surgeons of LLUSM,24143543,6/1/2023,11175 Campus St 11120,Loma Linda,92350,"San Bernardino County, California",1995,6/1/2024,E31: Group Health Practice,621: Outpatient Health Care Practitioners and Facilities,Yes,No,Contract; Purchase order,377501837,720469889,144941329,698900294,,
33-0364239,Loma Linda University Health Care,"Loma Linda, California",CA,"San Bernardino County, California",1989,6/1/2024,E31: Group Health Practice,813211: Grantmaking Foundations,235023024,86243347,235023024,141835056,Metro,1,33-0672915,Faculty Physicians and Surgeons of LLUSM,18925780,6/1/2024,11175 Campus St 11120,Loma Linda,92350,"San Bernardino County, California",1995,6/1/2024,E31: Group Health Practice,621: Outpatient Health Care Practitioners and Facilities,Yes,No,Contract; Purchase order,377501837,720469889,144941329,698900294,,
23-7433570,Uc Riverside Foundation,"Riverside, California",CA,"Riverside County, California",1974,6/1/2024,"B82: Scholarships, Student Financial Aid Services",813211: Grantmaking Foundations,15025433,2170598,15025433,295596940,Metro,1,95-6006142,Regents of the University of California at Riverside,14940166,6/1/2024,900 University Ave,Riverside,92507,"Riverside County, California",1965,,Z99: ,,No,No,,,,,,,
23-7433570,Uc Riverside Foundation,"Riverside, California",CA,"Riverside County, California",1974,6/1/2024,"B82: Scholarships, Student Financial Aid Services",813211: Grantmaking Foundations,15025433,2170598,15025433,295596940,Metro,1,95-6006142,Regents of the University of California at Riverside,14864394,6/1/2023,900 University Ave,Riverside,92507,"Riverside County, California",1965,,Z99: ,,No,No,,,,,,,
33-0776828,Far Reaching Ministries,"Murrieta, California",CA,"Riverside County, California",1998,12/1/2023,X20: Christian,813110: Religious Organizations,12857444,3577,12857444,19539672,State,14,20-2028633,Far Reaching Ministries Aviation,2219000,12/1/2023,38615 Calistoga Dr 100,Murrieta,92563,"Riverside County, California",2004,12/1/2023,"Q20: International Exchanges, Cultural Understanding",813110: Religious Organizations,No,No,,4965145,2379343,4937,340665,1,10000
26-1593449,Mcmillen Family Foundation,"Temecula, California",CA,"Riverside County, California",2008,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,462109,497,462109,19130285,Metro,41,45-5182350,The Rivers Edge Ranch,1500000,12/1/2023,PO Box 1482,Rancho Cucamonga,91729,"San Bernardino County, California",2011,12/1/2024,I40: Rehabilitation Services for Offenders,813319: Social Advocacy Organizations,Yes,No,,3871767,1218102,5525,1143531,,
47-3315241,The Barbara Sinatra Childrens Center Foundation,"Rancho Mirage, California",CA,"Riverside County, California",2015,6/1/2023,P11: Human Services Single Organization Support,813211: Grantmaking Foundations,825431,508940,825431,23665046,Metro,1,33-0136550,The Barbara Sinatra Children's Center at Eisenhower,1400000,6/1/2023,39000 Bob Hope Dr,Rancho Mirage,92270,"Riverside County, California",1985,6/1/2024,"I72: Child Abuse, Prevention of",624110: Child and Youth Services,Yes,Yes,Cooperative agreement; Formula grant; Sub-grant; Project grant; Grant,2421077,2849834,882494,3114784,,
47-4954838,D&D Support Foundation,"Palm Desert, California",CA,"Riverside County, California",2015,12/1/2024,"T11: Philanthropy, Voluntarism and Grantmaking Foundations Single Organization Support",813211: Grantmaking Foundations,1367281,0,1367281,4794724,Metro,1,95-4725924,Desert Community Foundation,1184000,12/1/2024,75105 Merle Dr 300,Palm Desert,92211,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,No,No,,50379669,12638234,9312,4651034,33,10290
33-0863521,The Linfield Foundation,"Temecula, California",CA,"Riverside County, California",1998,6/1/2024,B84: Alumni Associations,813211: Grantmaking Foundations,937763,8199578,937763,5130901,Metro,1,95-1683878,Linfield Christian School,1102947,6/1/2023,31950 Pauba Rd,Temecula,92592,"Riverside County, California",1936,6/1/2024,"B20: Elementary, Secondary Education",611110: Elementary and Secondary Schools,Yes,No,,36258868,19490884,28191366,18241532,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,95-6130458,Eisenhower Medical Center,1000000,12/1/2023,39000 Bob Hope Dr,Rancho Mirage,92270,"Riverside County, California",1966,6/1/2024,"E22: Hospital, General",622: Hospitals,Yes,Yes,Project grant; Grant; Cooperative agreement; Sub-grant,1647706542,1385478306,635850647,1247393979,32,10803
