EIN,Org name,Acronym,Website URL,Street address,City,Zip code,County,Year formed,Most recent tax filings,"NTEE code, primary","NAICS code, primary",California FTB status revoked,Has full-time employees,Has endowment support,Federal funding types,Total assets,Total revenues,Number of grants received,"Total grants, contributions, etc.: Percent of revenues",Total liabilities,Total expenses,Total general management expenses: Percent of expenses,Total program-related expenses: Percent of expenses,"All salaries, compensation, and employee benefits: Percent of expenses",Number of grants made,Median grant amount
95-3863994,Betty Ford Center,BFC,,39000 Bob Hope Dr,Rancho Mirage,92270,"Riverside County, California",1983,1/1/2015,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",622: Hospitals,No,Yes,No,,0,17836254,1,13.98834083,0,68540428,5.211346215,93.71158581,14.28587811,1,1756862
81-1085040,Keru FM,,,PO Box 1084,Blythe,92226,"Riverside County, California",2020,6/1/2016,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,,,0,,,,,,,,
45-3657348,Jewish Sunshine Circle,,,PO Box 1463,Palm Desert,92261,"Riverside County, California",2000,8/1/2018,X30: Jewish,813110: Religious Organizations,No,Yes,No,,26546,213004,3,37.44577567,0,227967,41.83017717,36.5333579,69.87678041,,
82-0927288,Aum Spiritual Center,,http://aumspiritualcenter.com/,341 E Main St No 100,San Jacinto,92583,"Riverside County, California",2017,12/1/2018,X50: Buddhist,813110: Religious Organizations,No,No,No,,861245,261296,2,100,505000,43461,0,100,0,,
95-2460332,California Federation of Women's Clubs - Womans Club of Lake Arrowhead,,,PO Box 1981,LK Arrowhead,92352,"San Bernardino County, California",1998,5/1/2019,S80: Community Service Clubs,,No,No,No,,,,1,,,,,,,,
90-1508622,California State PTA - Desert Hot Springs High School Ptsa,,,65850 Pierson Blvd,DSRT Hot SPGS,92240,"Riverside County, California",1943,6/1/2020,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,,,1,,,,,,,,
65-1161215,Cathedral City Police Officers Association,,,PO Box 1131,Cathedral Cty,92235,"Riverside County, California",2003,12/1/2020,"J40: Labor unions, organizations",813930: Labor Unions,No,No,No,,148734,124151,1,78.48104325,0,83394,,,0,,
30-0994615,Love Notes Alliance,,,9549 Calico TRL,Riverside,92508,"Riverside County, California",2021,12/1/2020,A68: Music,,No,No,No,,,,0,,,,,,,,
27-2213772,Patriot High School Cheer Booster Club,,,5644 El Palomino Dr,Riverside,92509,"Riverside County, California",2013,12/1/2020,A62: Dance,,Yes,No,No,,,,1,,,,,,,,
23-7314077,Crafton Hills College Foundation,,https://www.craftonhills.edu/visitors-and-alumni/giving-to-chc/index.php,11711 Sand Canyon Rd,Yucaipa,92399,"San Bernardino County, California",1973,6/1/2021,B11: Education Single Organization Support,813211: Grantmaking Foundations,No,No,Yes,,4298846,1580334,8,66.01484243,1,755979,1.654146478,94.90104884,0,1,141869
